Name,Size (Imperial),Size (Metric),Calories,Calories From Fat,Total Fat,% Fat Daily Value,Saturated Fat,% Saturated Fat Daily Value,Trans Fat,Cholesterol,% Cholesterol Daily Value,Sodium,% Sodium Daily value,Carbohydrates,% Carbohydrates Daily Value,Dietary Fiber,% Dietary Fiber Daily Value,Sugars,Protein,Vitamin A,Vitamin C,Calcium,Iron
Iced Coffee--Caramel (Large),32,946,270,100,11,17,7,34,0,40,14,160,7,41,14,0,0,41,2,8,0,8,0
Iced Coffee--Caramel (Medium),22,651,190,70,8,13,5,26,0,30,11,115,5,27,9,0,0,27,2,6,0,6,0
Iced Coffee--Hazelnut (Large),32,946,270,100,11,17,7,34,0,40,14,85,3,43,14,0,0,43,2,10,0,8,0
Iced Coffee--Hazelnut (Medium),22,651,190,70,8,13,5,26,0,30,11,60,3,29,10,0,0,29,2,8,0,6,0
Iced Coffee--Regular (Large),32,946,280,100,11,17,7,34,0,40,14,85,4,45,15,0,0,45,2,8,0,8,0
Iced Coffee--Regular (Medium),22,651,200,70,8,13,5,26,0,30,11,60,3,30,10,0,0,30,2,6,0,6,0
Iced Coffee--Vanilla (Large),32,946,270,100,11,17,7,34,0,40,14,85,3,43,14,0,0,43,2,8,0,8,0
Iced Coffee--Vanilla (Medium),22,651,190,70,8,13,5,26,0,30,11,60,3,29,10,0,0,28,2,6,0,6,0
Iced Tea (Child),12,355,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0
Iced Tea (Large),32,946,0,0,0,0,0,0,0,0,0,20,1,1,0,0,0,0,0,0,0,0,0
Iced Tea (Medium),21,621,0,0,0,0,0,0,0,0,0,15,1,0,0,0,0,0,0,0,0,0,0
Minute Maid® Orange Juice (Large),22,651,280,0,0,0,0,0,0,0,0,5,0,58,19,0,0,58,4,0,260,4,0
Minute Maid® Orange Juice (Small),12,355,150,0,0,0,0,0,0,0,0,0,0,30,10,0,0,30,2,0,140,2,0
POWERade® Mountain Blast (Child),12,355,70,0,0,0,0,0,0,0,0,65,3,20,7,0,0,16,0,0,0,0,0
POWERade® Mountain Blast (Large),32,946,220,0,0,0,0,0,0,0,0,190,8,58,19,0,0,46,0,0,0,0,0
POWERade® Mountain Blast (Medium),21,621,150,0,0,0,0,0,0,0,0,130,5,39,13,0,0,31,0,0,0,0,0
Sprite® (Child),12,355,110,0,0,0,0,0,0,0,0,30,1,28,9,0,0,28,0,0,0,0,0
Sprite® (Large),32,946,310,0,0,0,0,0,0,0,0,80,3,83,28,0,0,83,0,0,0,0,0
Sprite® (Medium),21,621,210,0,0,0,0,0,0,0,0,55,2,56,19,0,0,56,0,0,0,0,0
Sweet Tea (Child),12,355,110,0,0,0,0,0,0,0,0,5,0,27,9,0,0,27,0,0,0,0,0
Sweet Tea (Large),32,946,280,0,0,0,0,0,0,0,0,15,1,69,23,0,0,69,1,0,0,0,0
Sweet Tea (Small),16,473,150,0,0,0,0,0,0,0,0,10,0,36,12,0,0,36,1,0,0,0,0
McCafe Coffee (Large),16,473,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Coffee (Small),12,355,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Iced Coffee with Sugar Free Vanilla Syrup (Large),32,946,120,100,11,17,7,34,0,40,14,140,6,16,5,0,0,2,2,8,0,8,0
Iced Coffee with Sugar Free Vanilla Syrup (Medium),22,651,90,70,8,13,5,26,0,30,11,100,4,11,4,0,0,2,2,6,0,6,0
Iced Coffee with Sugar Free Vanilla Syrup (Small),16,473,60,50,5,8,3.5,17,0,20,7,70,3,8,3,0,0,1,1,4,0,4,0
Iced Coffee--Caramel (Large),32,946,270,100,11,17,7,34,0,40,14,160,7,41,14,0,0,41,2,8,0,8,0
Iced Coffee--Caramel (Medium),22,651,190,70,8,13,5,26,0,30,11,115,5,27,9,0,0,27,2,6,0,6,0
Iced Coffee--Caramel (Small),16,473,130,50,5,8,3.5,17,0,20,7,80,3,21,7,0,0,20,1,4,0,4,0
Iced Coffee--Hazelnut (Large),32,946,270,100,11,17,7,34,0,40,14,85,3,43,14,0,0,43,2,10,0,8,0
Iced Coffee--Hazelnut (Medium),22,651,190,70,8,13,5,26,0,30,11,60,3,29,10,0,0,29,2,8,0,6,0
Iced Coffee--Hazelnut (Small),16,473,130,50,5,8,3.5,17,0,20,7,40,2,21,7,0,0,21,1,6,0,4,0
Iced Coffee--Regular (Large),32,946,280,100,11,17,7,34,0,40,14,85,4,45,15,0,0,45,2,8,0,8,0
Iced Coffee--Regular (Medium),22,651,200,70,8,13,5,26,0,30,11,60,3,30,10,0,0,30,2,6,0,6,0
Iced Coffee--Regular (Small),16,473,140,50,5,8,3.5,17,0,20,7,40,2,22,7,0,0,22,1,4,0,4,0
Iced Coffee--Vanilla (Large),32,946,270,100,11,17,7,34,0,40,14,85,3,43,14,0,0,43,2,8,0,8,0
Iced Coffee--Vanilla (Medium),22,651,190,70,8,13,5,26,0,30,11,60,3,29,10,0,0,28,2,6,0,6,0
Iced Coffee--Vanilla (Small),16,473,130,50,5,8,3.5,17,0,20,7,40,2,21,7,0,0,21,1,4,0,4,0
Iced Mocha (Large),22,651,390,130,14,22,9,43,0.5,25,8,180,7,57,19,0,0,48,7,8,0,25,6
